abbreviati,country_co,country_na,mean,wld_rgn,month
Ang.,AO,Angola,4.0260771748970574e-05,Africa,2019-01
Buru.,BY,Burundi,3.682617893760404e-05,Africa,2019-01
Rw.,RW,Rwanda,3.8698824902226666e-05,Africa,2019-01
S. Afr.,SF,South Africa,6.410944422491164e-05,Africa,2019-01
Leso.,LT,Lesotho,5.917808360784046e-05,Africa,2019-01
Swaz.,WZ,Swaziland,6.564297429566745e-05,Africa,2019-01
May.,MF,Mayotte,3.804505728911936e-05,Africa,2019-01
,NG,Niger,4.434610819580591e-05,Africa,2019-01
,SU,Sudan,4.531604993686826e-05,Africa,2019-01
,LY,Libya,5.077438635329038e-05,Africa,2019-01
,UU,Koualou Area,5.509850776913558e-05,Africa,2019-01
Tun.,TS,Tunisia,5.494319827324179e-05,Africa,2019-01
,EG,Egypt,5.6713075798441814e-05,Africa,2019-01
,EG,Bir Tawil,4.4147825028890775e-05,Africa,2019-01
,SU,Halaib Triangle,4.3709366351736475e-05,Africa,2019-01
Erit.,ER,Eritrea,4.408165498869786e-05,Africa,2019-01
Eth.,ET,Ethiopia,4.6079798292060565e-05,Africa,2019-01
Dji.,DJ,Djibouti,4.210459082003049e-05,Africa,2019-01
Som.,SO,Somalia,3.8079914348311115e-05,Africa,2019-01
S. Sudan,OD,South Sudan,6.667907379317237e-05,Africa,2019-01
,UU,Abyei Area,5.442685498652635e-05,Africa,2019-01
,KE,Kenya,3.8405103711133874e-05,Africa,2019-01
Ug.,UG,Uganda,5.435964495529256e-05,Africa,2019-01
Tanz.,TZ,Tanzania,3.7215037531367034e-05,Africa,2019-01
Moz.,MZ,Mozambique,4.240298879535192e-05,Africa,2019-01
Como.,CN,Comoros,3.886584583028017e-05,Africa,2019-01
Madag.,MA,Madagascar,4.254290546862509e-05,Africa,2019-01
C. Ver.,CV,Cabo Verde,4.650546631064308e-05,Africa,2019-01
W. Sah.,WI,Western Sahara,4.770505495763158e-05,Africa,2019-01
