abbreviati,country_co,country_na,mean,wld_rgn,month
Tanz.,TZ,Tanzania,0.00010797360306885915,Africa,2019-04
Moz.,MZ,Mozambique,8.995462703065842e-05,Africa,2019-04
Como.,CN,Comoros,8.769174446777707e-05,Africa,2019-04
Madag.,MA,Madagascar,9.651919330376116e-05,Africa,2019-04
C. Ver.,CV,Cabo Verde,6.712200842513255e-05,Africa,2019-04
W. Sah.,WI,Western Sahara,4.9685333735513843e-05,Africa,2019-04
Maur.,MR,Mauritania,7.157819856161581e-05,Africa,2019-04
Mor.,MO,Morocco,4.7996965204079476e-05,Africa,2019-04
Sp.,SP,Spain (Canary Is),3.88789157381385e-05,Africa,2019-04
Port.,PO,Portugal (Madeira Is),3.207270878905861e-05,Africa,2019-04
Sp.,SP,Spain (Africa),4.566759697076914e-05,Africa,2019-04
Alg.,AG,Algeria,5.3169743110196037e-05,Africa,2019-04
,ML,Mali,0.00010624219815396863,Africa,2019-04
Burk.,UV,Burkina Faso,0.00018136031486597597,Africa,2019-04
,TO,Togo,0.00020907484581928398,Africa,2019-04
,GH,Ghana,0.0002017538775946007,Africa,2019-04
C. d Iv.,IV,Cote d'Ivoire,0.0001959909005244728,Africa,2019-04
Gui.,GV,Guinea,0.0002454175920007613,Africa,2019-04
Sen.,SG,Senegal,0.0001436679705697851,Africa,2019-04
Gam.,GA,"Gambia, The",0.000163177423043125,Africa,2019-04
Gui.-Bis.,PU,Guinea-Bissau,0.00021316036915113758,Africa,2019-04
S. Leo.,SL,Sierra Leone,0.00024084415831301863,Africa,2019-04
Liber.,LI,Liberia,0.0001701567965592842,Africa,2019-04
,BN,Benin,0.00021974984534620982,Africa,2019-04
Nig.,NI,Nigeria,0.00020512873058082165,Africa,2019-04
Camer.,CM,Cameroon,0.00017669188322670144,Africa,2019-04
Equa. Gui.,EK,Equatorial Guinea,0.0001357829503478364,Africa,2019-04
S. To. & Prin.,TP,Sao Tome & Principe,0.00012122202303372183,Africa,2019-04
,GB,Gabon,0.00014540878584197247,Africa,2019-04
Rep. of the Congo,CF,Rep of the Congo,0.00017819532940140367,Africa,2019-04
Cen. Afr. Rep.,CT,Central African Rep,0.0002341924546851705,Africa,2019-04
Dem. Rep. of the Congo,CG,Dem Rep of the Congo,0.00018825036424115392,Africa,2019-04
,CD,Chad,0.00013723935614036757,Africa,2019-05
Mal.,MI,Malawi,9.931217027268746e-05,Africa,2019-05
Zam.,ZA,Zambia,0.00012619642953792896,Africa,2019-05
Zimb.,ZI,Zimbabwe,0.00011043157043189459,Africa,2019-05
Bots.,BC,Botswana,0.00012025141414326921,Africa,2019-05
Nam.,WA,Namibia,0.00011995805344867,Africa,2019-05
Ang.,AO,Angola,0.00018153861930714107,Africa,2019-05
Buru.,BY,Burundi,9.018306284102396e-05,Africa,2019-05
Rw.,RW,Rwanda,9.74774673550082e-05,Africa,2019-05
S. Afr.,SF,South Africa,0.00010249468020950808,Africa,2019-05
Leso.,LT,Lesotho,9.515477858702968e-05,Africa,2019-05
Swaz.,WZ,Swaziland,0.0001304720186109188,Africa,2019-05
May.,MF,Mayotte,6.50324020678225e-05,Africa,2019-05
,NG,Niger,0.00011143209809606824,Africa,2019-05
,SU,Sudan,0.00011453971048690018,Africa,2019-05
,LY,Libya,6.7802704716509e-05,Africa,2019-05
,UU,Koualou Area,0.00021179159796961175,Africa,2019-05
Tun.,TS,Tunisia,7.59645026047344e-05,Africa,2019-05
,EG,Egypt,8.138027576895281e-05,Africa,2019-05
,EG,Bir Tawil,8.070415702984485e-05,Africa,2019-05
,SU,Halaib Triangle,7.676365399557322e-05,Africa,2019-05
Erit.,ER,Eritrea,0.0001123291291858475,Africa,2019-05
Eth.,ET,Ethiopia,0.00011547837384794318,Africa,2019-05
Dji.,DJ,Djibouti,0.00010987979854780454,Africa,2019-05
Som.,SO,Somalia,9.706727958643319e-05,Africa,2019-05
S. Sudan,OD,South Sudan,0.00018211039615631625,Africa,2019-05
,UU,Abyei Area,0.00021046027424817402,Africa,2019-05
,KE,Kenya,9.702794870061965e-05,Africa,2019-05
Ug.,UG,Uganda,0.00012600904917056248,Africa,2019-05
Tanz.,TZ,Tanzania,8.749726758407651e-05,Africa,2019-05
Moz.,MZ,Mozambique,7.670258449216749e-05,Africa,2019-05
Como.,CN,Comoros,5.904914693133822e-05,Africa,2019-05
Madag.,MA,Madagascar,8.533416393823542e-05,Africa,2019-05
C. Ver.,CV,Cabo Verde,6.404059422033683e-05,Africa,2019-05
W. Sah.,WI,Western Sahara,6.459944828316926e-05,Africa,2019-05
Maur.,MR,Mauritania,8.398765272806712e-05,Africa,2019-05
Mor.,MO,Morocco,8.366800153825115e-05,Africa,2019-05
Sp.,SP,Spain (Canary Is),5.381795516095906e-05,Africa,2019-05
Port.,PO,Portugal (Madeira Is),4.8220141755751223e-05,Africa,2019-05
Sp.,SP,Spain (Africa),8.482191931565686e-05,Africa,2019-05
Alg.,AG,Algeria,7.378871975442783e-05,Africa,2019-05
,ML,Mali,0.00012355692760906148,Africa,2019-05
Burk.,UV,Burkina Faso,0.0001992906732259667,Africa,2019-05
,TO,Togo,0.00016913013429554975,Africa,2019-05
,GH,Ghana,0.000169030020558472,Africa,2019-05
C. d Iv.,IV,Cote d'Ivoire,0.00015756133928213322,Africa,2019-05
